Majority protein IDs	Protein names	Gene names	iBAQ LYOP2 / iBAQ TNEG2	iBAQ LYOP3 / iBAQ TNEG3	Razor + unique peptides
P01766	"Ig heavy chain V-III region BRO;Ig heavy chain V-III region WEA;Ig heavy chain V-III region BUT;Ig heavy chain V-III region TEI"		LYOP2 only	LYOP3 only	2
P01623	"Ig kappa chain V-III region WOL;Ig kappa chain V-III region SIE;Ig kappa chain V-III region GOL;Ig kappa chain V-III region Ti;Ig kappa chain V-III region HIC;Ig kappa chain V-III region HAH"		LYOP2 only	LYOP3 only	3
P04083	Annexin A1	ANXA1	LYOP2 only	LYOP3 only	10
Q5T750	Skin-specific protein 32	XP32	103,9	LYOP3 only	4
P31949	"Protein S100-A11;Protein S100-A11, N-terminally processed"	S100A11	LYOP2 only	LYOP3 only	2
Q86YZ3	Hornerin	HRNR	LYOP2 only	LYOP3 only	11
P02788	"Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C"	LTF	317,1	LYOP3 only	21
P22528	Cornifin-B	SPRR1B	LYOP2 only	LYOP3 only	3
P68871	"Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin"	HBB	LYOP2 only	LYOP3 only	4
P0DMV9	"Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A"	"HSPA1B;HSPA1A"	LYOP2 only	LYOP3 only	8
P09211	Glutathione S-transferase P	GSTP1	LYOP2 only	LYOP3 only	4
P68363	"Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-3E chain;Tubulin alpha-3C/D chain"	"TUBA1B;TUBA1C;TUBA1A;TUBA3E;TUBA3C"	LYOP2 only	LYOP3 only	7
P02545	"Prelamin-A/C;Lamin-A/C"	LMNA	LYOP2 only	LYOP3 only	10
Q9NZH8	Interleukin-36 gamma	IL36G	LYOP2 only	LYOP3 only	6
P68371	"Tubulin beta-4B chain;Tubulin beta chain;Tubulin beta-4A chain;Tubulin beta-2B chain;Tubulin beta-2A chain;Tubulin beta-3 chain"	"TUBB4B;TUBB;TUBB4A;TUBB2B;TUBB2A;TUBB3"	LYOP2 only	LYOP3 only	8
O75223	Gamma-glutamylcyclotransferase	GGCT	LYOP2 only	LYOP3 only	6
P04040	Catalase	CAT	135,2	LYOP3 only	9
P62258	14-3-3 protein epsilon	YWHAE	LYOP2 only	LYOP3 only	4
P07339	"Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain"	CTSD	LYOP2 only	LYOP3 only	6
P01860	Ig gamma-3 chain C region	IGHG3	LYOP2 only	LYOP3 only	2
O75635	Serpin B7	SERPINB7	LYOP2 only	LYOP3 only	7
Q08188	"Protein-glutamine gamma-glutamyltransferase E;Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain;Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain"	TGM3	LYOP2 only	LYOP3 only	12
P04075	Fructose-bisphosphate aldolase A	ALDOA	LYOP2 only	LYOP3 only	4
Q15828	Cystatin-M	CST6	LYOP2 only	LYOP3 only	3
Q96FX8	p53 apoptosis effector related to PMP-22	PERP	LYOP2 only	LYOP3 only	2
P01765	"Ig heavy chain V-III region TIL;Ig heavy chain V-III region TUR;Ig heavy chain V-III region WAS;Ig heavy chain V-III region POM"		LYOP2 only	LYOP3 only	2
P19971	Thymidine phosphorylase	TYMP	291,7	LYOP3 only	2
Q9UGM3	Deleted in malignant brain tumors 1 protein	DMBT1	LYOP2 only	LYOP3 only	6
P04080	Cystatin-B	CSTB	LYOP2 only	LYOP3 only	2
Q6UWP8	Suprabasin	SBSN	LYOP2 only	LYOP3 only	4
P11021	78 kDa glucose-regulated protein	HSPA5	LYOP2 only	LYOP3 only	10
P20933	"N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain"	AGA	LYOP2 only	LYOP3 only	3
Q8WVV4	Protein POF1B	POF1B	188,1	LYOP3 only	8
P80188	Neutrophil gelatinase-associated lipocalin	LCN2	LYOP2 only	LYOP3 only	3
Q13867	Bleomycin hydrolase	BLMH	LYOP2 only	LYOP3 only	5
P07900	"Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-alpha A2"	"HSP90AA1;HSP90AA2P"	LYOP2 only	LYOP3 only	6
P14618	Pyruvate kinase PKM	PKM	LYOP2 only	LYOP3 only	9
Q9UI42	Carboxypeptidase A4	CPA4	LYOP2 only	LYOP3 only	6
P60842	"Eukaryotic initiation factor 4A-I;Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed"	"EIF4A1;EIF4A2"	LYOP2 only	LYOP3 only	5
P05090	Apolipoprotein D	APOD	LYOP2 only	LYOP3 only	2
P11142	Heat shock cognate 71 kDa protein	HSPA8	LYOP2 only	LYOP3 only	5
P01625	"Ig kappa chain V-IV region Len;Ig kappa chain V-IV region;Ig kappa chain V-IV region JI;Ig kappa chain V-IV region B17"	IGKV4-1	LYOP2 only	LYOP3 only	2
P02787	Serotransferrin	TF	LYOP2 only	LYOP3 only	9
P01009	"Alpha-1-antitrypsin;Short peptide from AAT"	SERPINA1	LYOP2 only	LYOP3 only	6
O95274	Ly6/PLAUR domain-containing protein 3	LYPD3	LYOP2 only	LYOP3 only	2
P40121	Macrophage-capping protein	CAPG	LYOP2 only	LYOP3 only	2
P13639	Elongation factor 2	EEF2	LYOP2 only	LYOP3 only	8
P30740	Leukocyte elastase inhibitor	SERPINB1	LYOP2 only	LYOP3 only	3
P11279	Lysosome-associated membrane glycoprotein 1	LAMP1	LYOP2 only	LYOP3 only	2
Q92820	Gamma-glutamyl hydrolase	GGH	LYOP2 only	LYOP3 only	5
P61160	Actin-related protein 2	ACTR2	LYOP2 only	LYOP3 only	2
P26641	Elongation factor 1-gamma	EEF1G	LYOP2 only	LYOP3 only	3
Q9BQ50	Three prime repair exonuclease 2	TREX2	LYOP2 only	LYOP3 only	2
Q6P4A8	"Phospholipase B-like 1;Phospholipase B-like 1 chain A;Phospholipase B-like 1 chain B;Phospholipase B-like 1 chain C"	PLBD1	LYOP2 only	LYOP3 only	5
P23396	40S ribosomal protein S3	RPS3	LYOP2 only	LYOP3 only	2
P07858	"Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain"	CTSB	LYOP2 only	LYOP3 only	2
P36952	Serpin B5	SERPINB5	LYOP2 only	LYOP3 only	3
Q14574	Desmocollin-3	DSC3	LYOP2 only	LYOP3 only	4
P59998	Actin-related protein 2/3 complex subunit 4	ARPC4	LYOP2 only	LYOP3 only	2
P23284	Peptidyl-prolyl cis-trans isomerase B	PPIB	LYOP2 only	LYOP3 only	2
O43707	"Alpha-actinin-4;Alpha-actinin-1"	"ACTN4;ACTN1"	LYOP2 only	LYOP3 only	6
Q9UIV8	Serpin B13	SERPINB13	LYOP2 only	LYOP3 only	2
P01011	"Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less"	SERPINA3	LYOP2 only	LYOP3 only	3
P27482	Calmodulin-like protein 3	CALML3	LYOP2 only	LYOP3 only	2
P00558	Phosphoglycerate kinase 1	PGK1	LYOP2 only	LYOP3 only	4
P06396	Gelsolin	GSN	LYOP2 only	LYOP3 only	3
P00491	Purine nucleoside phosphorylase	PNP	LYOP2 only	LYOP3 only	2
P02763	Alpha-1-acid glycoprotein 1	ORM1	LYOP2 only	LYOP3 only	3
P08865	40S ribosomal protein SA	RPSA	LYOP2 only	LYOP3 only	2
P00738	"Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain"	HP	LYOP2 only	LYOP3 only	3
O60911	Cathepsin L2	CTSV	LYOP2 only	LYOP3 only	4
P25788	Proteasome subunit alpha type-3	PSMA3	LYOP2 only	LYOP3 only	3
P07384	Calpain-1 catalytic subunit	CAPN1	LYOP2 only	LYOP3 only	4
P13473	Lysosome-associated membrane glycoprotein 2	LAMP2	LYOP2 only	LYOP3 only	2
Q15149	Plectin	PLEC	LYOP2 only	LYOP3 only	15
P40926	Malate dehydrogenase, mitochondrial	MDH2	LYOP2 only	LYOP3 only	3
O75342	Arachidonate 12-lipoxygenase, 12R-type	ALOX12B	LYOP2 only	LYOP3 only	4
P18510	Interleukin-1 receptor antagonist protein	IL1RN	LYOP2 only	LYOP3 only	3
P47756	F-actin-capping protein subunit beta	CAPZB	LYOP2 only	LYOP3 only	2
P61916	Epididymal secretory protein E1	NPC2	LYOP2 only	LYOP3 only	2
P01871	Ig mu chain C region	IGHM	LYOP2 only	LYOP3 only	2
P49720	Proteasome subunit beta type-3	PSMB3	LYOP2 only	LYOP3 only	2
P42357	Histidine ammonia-lyase	HAL	LYOP2 only	LYOP3 only	2
A8K2U0	Alpha-2-macroglobulin-like protein 1	A2ML1	LYOP2 only	LYOP3 only	3
P09972	Fructose-bisphosphate aldolase C	ALDOC	LYOP2 only	LYOP3 only	2
P25705	ATP synthase subunit alpha, mitochondrial	ATP5A1	LYOP2 only	LYOP3 only	2
P18206	Vinculin	VCL	LYOP2 only	LYOP3 only	4
P50395	Rab GDP dissociation inhibitor beta	GDI2	LYOP2 only	LYOP3 only	2
P63244	"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed"	GNB2L1	LYOP2 only	LYOP3 only	2
P48637	Glutathione synthetase	GSS	LYOP2 only	LYOP3 only	2
O75369	Filamin-B	FLNB	LYOP2 only	LYOP3 only	5
P35579	Myosin-9	MYH9	LYOP2 only	LYOP3 only	8
P20930	Filaggrin	FLG	LYOP2 only	LYOP3 only	2
P14735	Insulin-degrading enzyme	IDE	LYOP2 only	LYOP3 only	3
P58107	Epiplakin	EPPK1	LYOP2 only	LYOP3 only	5
Q9Y6R7	IgGFc-binding protein	FCGBP	LYOP2 only	LYOP3 only	3
